page,xmin,ymin,xmax,ymax,text,is_upper,is_bold,span_font,font_size
1,650.14990234375,487.3309631347656,653.3538818359375,497.2939758300781,.,False,False,TimesNewRomanPSMT,9.0
1,698.9028930664062,487.3309631347656,704.5548706054688,497.2939758300781,I,True,False,TimesNewRomanPSMT,9.0
1,715.7058715820312,487.3309631347656,719.4048461914062,497.2939758300781,.,False,False,TimesNewRomanPSMT,9.0
1,763.4508666992188,487.3309631347656,767.3478393554688,497.2939758300781,.,False,False,TimesNewRomanPSMT,9.0
1,779.497802734375,487.3309631347656,786.5447998046875,497.2939758300781,_,False,False,TimesNewRomanPSMT,9.0
1,795.5988159179688,487.3309631347656,802.8978271484375,497.2939758300781,",.",False,False,TimesNewRomanPSMT,9.0
1,812.1498413085938,487.3309631347656,817.495849609375,497.2939758300781,..,False,False,TimesNewRomanPSMT,9.0
1,328.79998779296875,495.4809875488281,821.3434448242188,505.4440002441406,"dents, and proportionally m ore for Keech '61; Professor Lester Kieft, ! reeled the Institute for Asian Studies g",False,False,TimesNewRomanPSMT,9.0
1,329.04998779296875,505.5799865722656,428.72503662109375,515.54296875,groups larger than 70.,False,False,TimesNewRomanPSMT,9.0
1,440.87506103515625,505.5799865722656,821.5574951171875,515.54296875,"Proctoring Professor Hulda Magalhaes; Janet beginning that summer and will do , |",False,False,TimesNewRomanPSMT,9.0
1,329.29998779296875,515.8800659179688,821.366455078125,525.843017578125,of large classes should not be leftiM . Powers '61; Richard C. Skelton so agam this year after which time U,False,False,TimesNewRomanPSMT,9.0
1,325.45001220703125,526.4790649414062,777.9793701171875,536.4420166015625,i to instructors alone. To do so would '60; Professor Helmut R. Wagner; Dr. Lu will handle the task.,False,False,TimesNewRomanPSMT,9.0
1,816.7333984375,526.4790649414062,818.5333862304688,536.4420166015625,|,False,False,TimesNewRomanPSMT,9.0
1,325.70001220703125,536.7789916992188,654.3352661132812,546.741943359375,"I mean the perpetuation of present | Ex-officio: Karl D. Hartzell, Dean of I",False,False,TimesNewRomanPSMT,9.0
1,663.5872802734375,536.7789916992188,821.8524169921875,546.741943359375,When asked about leaving this 11,False,False,TimesNewRomanPSMT,9.0
1,325.70001220703125,548.5289916992188,487.7538757324219,558.491943359375,* practices which have been highly,False,False,TimesNewRomanPSMT,9.0
1,325.818115234375,556.6854248046875,327.6878967285156,569.02294921875,j,False,False,HelveticaLTMM_1_1000,5.751086711883545
1,329.7499084472656,558.3789672851562,377.8459167480469,568.3419189453125,ineffectual.,False,False,TimesNewRomanPSMT,9.0
1,390.69793701171875,558.3789672851562,487.75408935546875,568.3419189453125,In order to facilitate,False,False,TimesNewRomanPSMT,9.0
1,325.89990234375,568.6790161132812,488.0262756347656,578.6419677734375,"! proctoring, large classes should be",False,False,TimesNewRomanPSMT,9.0
1,326.26800537109375,576.83544921875,327.6874084472656,589.1729736328125,j,False,False,HelveticaLTMM_1_1000,5.751086711883545
1,329.7499084472656,578.5289916992188,487.9877624511719,588.491943359375,broken down into small sections,False,False,TimesNewRomanPSMT,9.0
1,326.14990234375,588.8779907226562,488.24017333984375,598.8409423828125,! which could then be assigned to take,False,False,TimesNewRomanPSMT,9.0
1,326.39990234375,598.9280395507812,352.40087890625,608.8909912109375,1 their,False,False,TimesNewRomanPSMT,9.0
1,362.6518859863281,598.9280395507812,420.557861328125,608.8909912109375,examinations,False,False,TimesNewRomanPSMT,9.0
1,430.5568542480469,598.9280395507812,440.9518737792969,608.8909912109375,in,False,False,TimesNewRomanPSMT,9.0
1,451.4548645019531,598.9280395507812,488.7597961425781,608.8909912109375,separate,False,False,TimesNewRomanPSMT,9.0
1,326.64990234375,609.2770385742188,488.2452697753906,619.239990234375,"i rooms. The Dean of the University,",False,False,TimesNewRomanPSMT,9.0
1,343.19989013671875,619.0769653320312,486.1741943359375,629.0399169921875,conjunction with the department,False,False,TimesNewRomanPSMT,9.0
1,488.639892578125,546.1279907226562,821.8295288085938,556.0909423828125,"| the University; Frank C. Abbott, University, Dr. Chu remarked that j;",False,False,TimesNewRomanPSMT,9.0
1,488.889892578125,556.4769897460938,641.3140869140625,566.43994140625,"|Assistant Dean of the University,",False,False,TimesNewRomanPSMT,9.0
1,651.0610961914062,556.4769897460938,822.3402099609375,566.43994140625,"jit was a ""hard decision to make,'1 j =",False,False,TimesNewRomanPSMT,9.0
1,547.889892578125,565.8269653320312,594.7800903320312,575.7899169921875,---------------,False,False,TimesNewRomanPSMT,9.0
